INSERT INTO REVIEW VALUES (RNUMBER.nextval, 251, RNUMBER.currval, 0, 0, '리뷰1', 3, '1번째 리뷰', '2020-05-12', '리뷰봇', '30대', '♀', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 267, RNUMBER.currval, 0, 0, '리뷰2', 1, '2번째 리뷰', '2020-05-01', '리뷰봇', '20대', '♀', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 170, RNUMBER.currval, 0, 0, '리뷰3', 2, '3번째 리뷰', '2020-05-05', '리뷰봇', '40대 ↑', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 205, RNUMBER.currval, 0, 0, '리뷰4', 2, '4번째 리뷰', '2020-05-22', '리뷰봇', '40대 ↑', '♂', '중성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 234, RNUMBER.currval, 0, 0, '리뷰5', 2, '5번째 리뷰', '2020-05-08', '리뷰봇', '20대', '♀', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 224, RNUMBER.currval, 0, 0, '리뷰6', 2, '6번째 리뷰', '2020-05-01', '리뷰봇', '20대', '♀', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 263, RNUMBER.currval, 0, 0, '리뷰7', 4, '7번째 리뷰', '2020-04-29', '리뷰봇', '20대', '♀', '민감성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 166, RNUMBER.currval, 0, 0, '리뷰8', 5, '8번째 리뷰', '2020-05-05', '리뷰봇', '40대 ↑', '♀', '복합성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 228, RNUMBER.currval, 0, 0, '리뷰9', 1, '9번째 리뷰', '2020-05-20', '리뷰봇', '40대 ↑', '♀', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 208, RNUMBER.currval, 0, 0, '리뷰10', 3, '10번째 리뷰', '2020-05-21', '리뷰봇', '40대 ↑', '♂', '건성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 247, RNUMBER.currval, 0, 0, '리뷰11', 3, '11번째 리뷰', '2020-05-05', '리뷰봇', '20대', '♀', '지성', 0, 0, 0);
INSERT INTO REVIEW VALUES (RNUMBER.nextval, 221, RNUMBER.currval, 0, 0, '리뷰12', 4, '12번째 리뷰', '2020-05-22', '리뷰봇', '30대', '♂', '중성', 0, 0, 0);
